gene	PRP	eqtlbma
ENSG00000000003.14	0.0290526315789474	0.059518
ENSG00000000419.12	0.821578947368421	0.9750890832
ENSG00000000457.13	0.812	0.930921936666
ENSG00000000460.16	0	0.49879
ENSG00000000938.12	0.264105263157895	0.8165788608
ENSG00000000971.15	0.805684210526316	0.935386351033
ENSG00000001036.13	0.100315789473684	0.59847310346
ENSG00000001084.10	0.816736842105263	0.957824514852
ENSG00000001167.14	0.126736842105263	0.25767
ENSG00000001460.17	0.0854736842105263	0.043217
ENSG00000001461.16	0.0429473684210526	0.24163
ENSG00000001497.16	0.807578947368421	0.988609148164
ENSG00000001561.6	0.124210526315789	0.049381
ENSG00000001617.11	0.0327368421052632	0.45993407528
ENSG00000001629.9	0.813368421052632	0.961049578996
ENSG00000001630.15	0.0395789473684211	0.013372
ENSG00000001631.15	0.0982105263157895	0.33498172408
ENSG00000002016.17	0.404631578947368	0.53001
ENSG00000002330.13	0.197052631578947	0.82762008481
ENSG00000002549.12	0.806315789473684	0.936326647864
ENSG00000002586.18	0.0476842105263158	0.076447
ENSG00000002587.9	0.807263157894737	0.951672384406
ENSG00000002745.12	0.814526315789474	0.963565788562
ENSG00000002822.15	0.810736842105263	0.91650849617
ENSG00000002834.17	0.218736842105263	0.9173993875
ENSG00000002919.14	0.775157894736842	0.935586017755
ENSG00000002933.7	0.536526315789474	0.30306
ENSG00000003056.7	0.106526315789474	0.018119
ENSG00000003096.14	0.110947368421053	0.017008
ENSG00000003137.8	0.816631578947368	0.96720296672
ENSG00000003147.17	0.0264210526315789	0.25788
ENSG00000003249.13	0.186736842105263	0.21062
ENSG00000003393.14	0.747473684210526	0.908508989112
ENSG00000003400.14	0.806736842105263	0.975680149293
ENSG00000003402.19	0.826421052631579	0.98688172802
ENSG00000003436.15	0.0393684210526316	0.14184
ENSG00000003509.15	0.816736842105263	0.90190257546
ENSG00000003756.16	0.79978947368421	0.958915250833
ENSG00000003987.13	0.811368421052632	0.8510140156
ENSG00000003989.17	0.0512631578947368	0.17809
ENSG00000004059.10	0.745263157894737	0.967230925312
ENSG00000004139.13	0.419894736842105	0.8900308456
ENSG00000004142.11	0.583684210526316	0.914151833488
ENSG00000004399.12	0.822631578947368	0.97319535625
ENSG00000004455.16	0.776736842105263	0.8968199484
ENSG00000004468.12	0.461684210526316	0.33893
ENSG00000004478.7	0.811368421052632	0.958009403584
ENSG00000004487.15	0.808947368421053	0.946519873415
ENSG00000004534.14	0.759263157894737	0.7505478431
ENSG00000004660.14	0.561368421052632	0.90567462864
ENSG00000004700.15	0.0742105263157895	0.1280036679
ENSG00000004766.15	0.581789473684211	0.932402679
ENSG00000004776.12	0.822631578947368	0.974263564741
ENSG00000004777.18	0.0773684210526316	0.9354609735
ENSG00000004779.9	0.821263157894737	0.9913875359606
ENSG00000004799.7	0.214	0.87112467321
ENSG00000004838.13	0.795473684210526	0.90124155908
ENSG00000004864.13	0.812947368421053	0.95919130933
ENSG00000004866.20	0.803052631578947	0.975906466242
ENSG00000004897.11	0.0789473684210526	0.17764
ENSG00000004961.14	0.809894736842105	0.962964775312
ENSG00000004975.11	0.794421052631579	0.964109836208
ENSG00000005007.12	0.808526315789474	0.969008437855
ENSG00000005020.12	0.716631578947368	0.86910170632
ENSG00000005022.5	0.802315789473684	0.98668931003
ENSG00000005059.15	0.817578947368421	0.979669872154
ENSG00000005075.15	0.0953684210526316	0.036388
ENSG00000005100.12	0.105789473684211	0.12956
ENSG00000005102.12	0.00968421052631579	0.030725
ENSG00000005108.15	0.702	0.917132404096
ENSG00000005156.11	0.367684210526316	0.99995
ENSG00000005175.9	0.0521052631578947	0.33253759265
ENSG00000005187.11	0.0123157894736842	0.3016522684
ENSG00000005189.19	0.0181052631578947	0.08110004451
ENSG00000005194.14	0.800315789473684	0.937178812056
ENSG00000005206.16	0.00221052631578947	0.11821
ENSG00000005238.19	0.0224210526315789	0.040826
ENSG00000005243.9	0.347263157894737	0.83372864896
ENSG00000005249.12	0.0851578947368421	0.024597
ENSG00000005302.17	0.78178947368421	0.92549612692
ENSG00000005339.14	0.799368421052632	0.985395691273
ENSG00000005379.15	0.328210526315789	1
ENSG00000005381.7	0.808842105263158	0.923277698497
ENSG00000005436.13	0.000315789473684211	0.87268
ENSG00000005448.16	0.827894736842105	0.960436783944
ENSG00000005469.11	0.82821052631579	0.98301602072
ENSG00000005471.15	0.00694736842105263	0.060083
ENSG00000005483.20	0.767052631578947	0.953160175562
ENSG00000005486.16	0.356842105263158	0.016179
ENSG00000005513.9	0.0250526315789474	0.15997
ENSG00000005700.14	0.801578947368421	0.97320194608
ENSG00000005801.16	0.492105263157895	1
ENSG00000005810.17	0.303368421052632	0.94224864856
ENSG00000005812.10	0.00852631578947368	0.19707222181
ENSG00000005844.17	0.823157894736842	0.973126143164
ENSG00000005882.11	0.173789473684211	0.47341
ENSG00000005884.17	0.817684210526316	0.97231846237
ENSG00000005889.15	0.732526315789474	0.937696693305
ENSG00000005893.15	0.0270526315789474	0.009845
ENSG00000005961.17	0.817578947368421	0.944345383025
ENSG00000006007.11	0.826526315789474	0.89987541875
ENSG00000006015.17	0.812315789473684	0.968589551272
ENSG00000006016.10	0.196105263157895	0.36134
ENSG00000006025.11	0.0543157894736842	0.04134
ENSG00000006042.11	0.142210526315789	1
ENSG00000006047.12	0.0287368421052632	0.049616
ENSG00000006062.14	0.365578947368421	0.81038528272
ENSG00000006071.12	0.04	0.17795
ENSG00000006118.14	0.815368421052632	0.955560357088
ENSG00000006125.17	0.0203157894736842	0.016381
ENSG00000006128.11	0.208526315789474	0.1608649305
ENSG00000006194.9	0.358315789473684	0.38733
ENSG00000006210.6	0.816631578947368	0.96087482452
ENSG00000006282.20	0.633368421052632	1.657e-223
ENSG00000006327.13	0.807157894736842	0.977529769805
ENSG00000006432.15	0.291157894736842	0.79376777408
ENSG00000006451.7	0.826947368421053	0.971453311588
ENSG00000006453.13	0.0104210526315789	0.058762
ENSG00000006459.10	0.765263157894737	0.944167848243
ENSG00000006468.13	0.814421052631579	0.91436800146
ENSG00000006530.15	0.0403157894736842	0.07072
ENSG00000006534.15	0.0658947368421053	0.1066261537
ENSG00000006576.16	0.429894736842105	0.942710375034
ENSG00000006607.13	0.659157894736842	0.47966
